code,name,description
0111,Cultivo de cereales (excepto arroz),Cultivo de cereales como trigo maíz sorgo cebada centeno avena y otros cereales
0112,Cultivo de arroz,Cultivo de arroz en todas sus variedades y formas de producción
0113,Cultivo de hortalizas y legumbres,Cultivo de hortalizas de hoja raíz bulbo o tuberosas y legumbres frescas
0121,Cultivo de frutas tropicales y subtropicales,Cultivo de frutas tropicales y subtropicales como plátano banano mango piña y otras frutas
4651,Comercio al por mayor de computadores,Comercio al por mayor de computadores equipo periférico y programas de informática
4652,Comercio al por mayor de equipo electrónico,Comercio al por mayor de equipo partes y piezas electrónicos y de telecomunicaciones
4741,Comercio al por menor de computadores,Comercio al por menor de computadores equipos periféricos programas de informática y equipos de telecomunicaciones
5820,Edición de programas de informática,Edición producción y distribución de programas de informática
6201,Actividades de desarrollo de sistemas informáticos,Actividades de desarrollo adaptación pruebas y soporte de software
6202,Actividades de consultoría informática,Actividades de planificación y diseño de sistemas informáticos
6209,Otras actividades de tecnología de información,Otras actividades de tecnología de información y servicios informáticos
6311,Procesamiento de datos y hosting,Procesamiento de datos alojamiento (hosting) y actividades relacionadas
6312,Portales web,Portales web y provisión de plataformas digitales
7110,Actividades de arquitectura e ingeniería,Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica
